iter	Passed	Remaining
594	1688	1149
595	1691	1146
596	1694	1144
597	1697	1140
598	1698	1137
599	1700	1133
600	1702	1130
601	1704	1126
602	1706	1123
603	1713	1123
604	1715	1120
605	1718	1117
606	1721	1114
607	1723	1111
608	1725	1107
609	1726	1103
610	1728	1100
611	1730	1097
612	1733	1094
613	1735	1091
614	1737	1087
615	1738	1084
616	1741	1080
617	1743	1077
618	1745	1074
619	1747	1071
620	1750	1068
621	1752	1065
622	1754	1061
623	1756	1058
624	1757	1054
625	1759	1051
626	1762	1048
627	1763	1044
628	1765	1041
629	1767	1038
630	1769	1034
631	1771	1031
632	1772	1027
633	1774	1024
634	1776	1021
635	1780	1018
636	1781	1015
637	1784	1012
638	1786	1009
639	1788	1005
640	1790	1002
641	1793	999
642	1796	997
643	1798	994
644	1800	991
645	1802	987
646	1804	984
647	1806	981
648	1809	978
649	1810	975
650	1812	971
651	1814	968
652	1816	965
653	1817	961
654	1819	958
655	1821	955
656	1824	952
657	1826	949
658	1828	945
659	1829	942
660	1831	939
661	1833	936
662	1835	932
663	1837	930
664	1841	927
665	1843	924
666	1844	921
667	1846	917
668	1848	914
669	1850	911
670	1853	908
671	1855	905
672	1856	902
673	1858	898
674	1860	895
675	1861	892
676	1863	889
677	1865	885
678	1867	883
679	1870	880
680	1872	877
681	1874	873
682	1876	870
683	1878	867
684	1879	864
685	1881	861
686	1884	858
687	1886	855
688	1887	852
689	1889	849
690	1891	845
691	1893	842
692	1895	839
693	1899	837
694	1901	834
695	1902	831
696	1904	827
697	1906	824
698	1908	821
699	1910	818
700	1913	816
701	1915	813
702	1917	810
703	1919	806
704	1921	803
705	1923	800
706	1924	797
707	1926	794
708	1929	792
709	1931	789
710	1933	785
711	1935	782
712	1936	779
713	1940	777
714	1942	774
715	1946	771
716	1947	768
717	1949	765
718	1951	762
719	1953	759
720	1954	756
721	1956	753
722	1959	750
723	1961	747
724	1963	744
725	1965	741
726	1967	738
727	1968	735
728	1970	732
729	1972	729
730	1974	726
731	1976	723
732	1978	720
733	1980	717
734	1982	714
735	1984	711
736	1985	708
737	1987	705
738	1990	702
739	1991	699
740	1993	696
741	1995	693
742	1997	690
743	1999	687
744	2000	684
745	2003	682
746	2006	679
747	2008	676
748	2010	673
749	2012	670
750	2014	667
751	2016	664
752	2018	662
753	2021	659
754	2023	656
755	2025	653
756	2027	650
757	2028	647
758	2030	644
759	2032	641
760	2035	639
761	2037	636
762	2039	633
763	2041	630
764	2043	627
765	2044	624
766	2046	621
767	2049	618
768	2050	616
769	2052	613
770	2054	610
771	2056	607
772	2057	604
773	2059	601
774	2061	598
775	2062	595
776	2065	592
777	2067	589
778	2069	587
779	2070	584
780	2072	581
781	2074	578
782	2076	575
783	2079	572
784	2082	570
785	2083	567
786	2085	564
787	2087	561
788	2089	558
789	2090	555
790	2093	553
791	2095	550
792	2097	547
793	2098	544
794	2100	541
795	2102	538
796	2104	536
797	2106	533
798	2109	530
799	2111	527
800	2113	525
801	2115	522
802	2117	519
803	2119	516
804	2120	513
805	2122	510
806	2125	508
807	2126	505
808	2128	502
809	2130	499
810	2132	497
811	2134	494
812	2136	491
813	2138	488
814	2142	486
815	2144	483
816	2146	480
817	2148	477
818	2149	475
819	2151	472
820	2153	469
821	2156	466
822	2158	464
823	2159	461
824	2161	458
825	2163	455
826	2165	453
827	2167	450
828	2170	447
829	2172	444
830	2174	442
831	2176	439
832	2177	436
833	2179	433
834	2181	431
835	2184	428
836	2188	426
837	2190	423
838	2193	420
839	2195	418
840	2197	415
841	2202	413
842	2204	410
843	2206	407
844	2208	405
845	2210	402
846	2212	399
847	2216	397
848	2218	394
849	2220	391
850	2222	389
851	2224	386
852	2226	383
853	2228	381
854	2232	378
855	2234	375
856	2236	373
857	2238	370
858	2239	367
859	2241	364
860	2243	362
861	2248	359
862	2250	357
863	2252	354
864	2254	351
865	2257	349
866	2259	346
867	2263	344
868	2265	341
869	2267	338
870	2269	336
871	2271	333
872	2272	330
873	2275	327
874	2277	325
875	2279	322
876	2282	320
877	2284	317
878	2288	315
879	2291	312
880	2293	309
881	2295	307
882	2297	304
883	2298	301
884	2300	298
885	2302	296
886	2304	293
887	2307	291
888	2309	288
889	2311	285
890	2313	282
891	2315	280
892	2316	277
893	2318	274
894	2320	272
895	2323	269
896	2325	266
897	2327	264
898	2328	261
899	2331	259
900	2333	256
901	2335	253
902	2338	251
903	2339	248
904	2341	245
905	2343	243
906	2345	240
907	2347	237
908	2349	235
909	2352	232
910	2354	230
911	2356	227
912	2357	224
913	2359	222
914	2361	219
915	2362	216
916	2364	214
917	2367	211
918	2368	208
919	2370	206
920	2372	203
921	2375	200
922	2377	198
923	2378	195
924	2380	192
925	2383	190
926	2386	187
927	2388	185
928	2392	182
929	2395	180
930	2400	177
931	2404	175
932	2407	172
933	2411	170
934	2414	167
935	2416	165
936	2418	162
937	2419	159
938	2421	157
939	2423	154
940	2424	152
941	2427	149
942	2429	146
943	2430	144
944	2433	141
945	2434	138
946	2436	136
947	2438	133
948	2440	131
949	2442	128
950	2444	125
951	2446	123
952	2448	120
953	2449	118
954	2451	115
955	2453	112
956	2454	110
957	2457	107
958	2459	105
959	2461	102
960	2463	99
961	2465	97
962	2466	94
963	2468	92
964	2470	89
965	2472	87
966	2474	84
967	2476	81
968	2478	79
969	2479	76
970	2481	74
971	2482	71
972	2484	68
973	2487	66
974	2489	63
